Track Name,Artist
Man Made A Bar (feat. Eric Church),Morgan Wallen
All Again,Charles Wesley Godwin
Old Dirt Roads,Owen Riegling
Country Boy's Dream Girl,Ella Langley
Where the Wild Things Are,Luke Combs
Bigger Mistakes,Mitchell Tenpenny
I Will (When You Do),Avery Anna
Ain't Doin' Jack,Josh Ross
Breakin' in Boots,Matt Stell
Tucson Too Late,Jordan Davis
Bulletproof,Nate Smith
your place,Ashley Cooke
Think I'm In Love With You,Chris Stapleton
I Remember Everything (feat. Kacey Musgraves),Zach Bryan
23,Chayce Beckham
TEXAS HOLD 'EM,Beyoncé
Creek Will Rise,Conner Smith
I Can Feel It,Kane Brown
Things I Take For Granted,Larry Fleet
No Caller ID,Megan Moroney
The Painter,Cody Johnson
Deeper Well,Kacey Musgraves
Burns Like Her,Randall King
Where It Ends,Bailey Zimmerman
Different 'Round Here,Riley Green
Rain In The Rearview,Anne Wilson
This Town's Been Too Good To Us,Dylan Scott
Boys Back Home,Dylan Marlowe
BREAK IT IN A BAR,Graham Barham
Wild Ones (feat. Jelly Roll),Jessie Murph
Jack and Diet Coke,Redferrin
Tennessee Don't Mind,Kameron Marlowe
Mamaw's House,Thomas Rhett
TRUCK BED,HARDY
Last Rodeo,Restless Road
Save Me (with Lainey Wilson),Jelly Roll
Let Your Boys Be Country,Jason Aldean
Devil You Know,Tyler Braden
Take Her Home,Kenny Chesney
Anybody But You,Lauren Watkins
Coal,Dylan Gossett
Another Round,Michael Warren
ghost in my guitar (feat. Chris Stapleton),Alana Springsteen
Back Then Right Now,Tyler Hubbard
Take Forever (Hally's Song),Cooper Alan
Please Don't Go,Wyatt Flores
Love On,Selena Gomez
Overdrive (feat. Norma Jean Martine),Ofenbach
Training Season,Dua Lipa
Alibi (feat. Rudimental),Ella Henderson
Whatever,Kygo
Feather,Sabrina Carpenter
greedy,Tate McRae
When We Were Young (The Logical Song),David Guetta
"yes, and? (with Mariah Carey)",Ariana Grande
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift
Water,Tyla
3D (feat. Jack Harlow),Jung Kook
Lose Control,Teddy Swims
You Love Who You Love,Zara Larsson
Jungle,Alok
Lovin On Me,Jack Harlow
Gimme Love,Sia
Igual Que Un Ángel (with Peso Pluma),Kali Uchis
Heart Still Beating,Nathan Dawe
Dreaming,Marshmello
Memory Lane,Zara Larsson
Strangers,Kenya Grace
Labios Mordidos (with KAROL G),Kali Uchis
EASY (English ver.),LE SSERAFIM
Vocation,Ozuna
BOTH,Tiësto
exes,Tate McRae
Lil Boo Thang,Paul Russell
Heart over Mind,Alan Walker
Thank You (Not So Bad),Dimitri Vegas & Like Mike
Never Be Alone,Becky Hill
Lighter,Galantis
Houdini,Dua Lipa
Desire (with Sam Smith),Calvin Harris
Memories,Sam Feldt
Single Soon,Selena Gomez
On My Love,Zara Larsson
One Of Your Girls,Troye Sivan
Just Us,James Arthur
Lighthouse,Calum Scott
You Were Mine,Forest Blakk
All Out Of Fight,P!nk
28 (with Dean Lewis),Ruth B.
Big FU,David Guetta
Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo
Saturn,SZA
American Town,Ed Sheeran
All Stand Together,Lost Frequencies
All Night Long,Kungs
TOO MUCH,The Kid LAROI
You Don't Even Know Me,Cheat Codes
I'll Be There,Robin Schulz
orbit,Henry Moodie
Hands On Me (feat. Meghan Trainor),Jason Derulo
MONACO,Bad Bunny
Is It Love,Loreen
Mirage - for Assassin's Creed Mirage,OneRepublic
I Believe In Love Again,Peggy Gou
In The City,Charli XCX
Dive,Lost Frequencies
Burn,Tom Walker
Stick Season,Noah Kahan
Standing Next to You,Jung Kook
Dientes,J Balvin
One in a Million,Bebe Rexha
GODS,League of Legends
You're Hired (feat. Ayra Starr),NEIKED
Trust Me Mate,Dean Lewis
Something On My Mind,Purple Disco Machine
What We Know (feat. Conor Byrne),Lucas & Steve
Drinkin',Joel Corry
I Can Feel,Leony
Si No Estás,iñigo quintero
Wild Ones,southstar
Dance The Night - From Barbie The Album,Dua Lipa
HONEY (ARE U COMING?),Måneskin
Paint The Town Red,Doja Cat
Past Life,Felix Jaehn
Prada,cassö
Summertime Friends,The Chainsmokers
One with the Wolves,Robin Schulz
Other Boys,Marshmello
Elevator Eyes,Tove Lo
Overdrive,Post Malone
Children of the Sky (a Starfield song),Imagine Dragons
Better Me,Michael Schulte
At Your Worst,Calum Scott
You & I,Rita Ora
Cynical,twocolors
Monsoon (feat. Tokio Hotel),VIZE
La La La,Faouzia
Coming Your Way (with Anne-Marie & Becky G),Michaël Brun
Substitution (feat. Julian Perretta),Purple Disco Machine
Chemical,Post Malone
IL0V3Y0U,Faouzia
My Love (feat. Ayra Starr),Leigh-Anne
Through The Wire,Kanye West
What You Know,T.I.
Overnight Celebrity,Twista
Best I Ever Had,Drake
Hard Knock Life (Ghetto Anthem),JAY-Z
"C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)",Wu-Tang Clan
Successful (feat. Trey Songz & Lil Wayne),Drake
Eye Know,De La Soul
Electric Relaxation,A Tribe Called Quest
Frontin' (feat. Jay-Z) - Club Mix,Pharrell Williams
Uptown (feat. Bun B & Lil Wayne),Drake
Me Myself and I,De La Soul
Da Art of Storytellin' (Pt. 1),Outkast
Poppin' Them Thangs,G-Unit
Who Am I (What’s My Name)?,Snoop Dogg
"Protect Ya Neck (feat. RZA, Method Man, Inspectah Deck, Raekwon, U-God, Ol' Dirty Bastard, Ghostface Killah & GZA) - Bloody Version",Wu-Tang Clan
Stand Up,Ludacris
Lollipop,Lil Wayne
Can I Get A...,JAY-Z
Hot In Herre,Nelly
Rosa Parks,Outkast
Ambitionz Az A Ridah,2Pac
1st of Tha Month,Bone Thugs-N-Harmony
"Nuthin' But A ""G"" Thang",Dr. Dre
Ain’t No Fun (If The Homies Can’t Have None),Snoop Dogg
Big Poppa - 2005 Remaster,The Notorious B.I.G.
24's (Vocals Only),T.I.
Money Ain't a Thang (feat. Jay-Z),Jermaine Dupri
I'm a Thug,Trick Daddy
Ruff Ryders' Anthem,DMX
Gimme Some More,Busta Rhymes
Oh Boy,Cam'ron
California Love - Original Version,2Pac
Maps,Yeah Yeah Yeahs
Particles,Nothing But Thieves
Wait for Me,Kings of Leon
I'm In Love With You,The 1975
Until I Found You,Stephen Sanchez
I Wanna Be Yours,Arctic Monkeys
I Love You So,The Walters
Grace,IDLES
I Love You,Fontaines D.C.
I Forgot To Be Your Lover,The Black Keys
Heat Waves,Glass Animals
Home,Good Neighbours
Skin and Bones,David Kushner
All My Love,Noah Kahan
Bloom - Bonus Track,The Paper Kites
Honeypie,JAWNY
Flowers in Your Hair,The Lumineers
The Only Exception,Paramore
All I Need,Radiohead
Skinny Love,Bon Iver
In A Good Way,Faye Webster
I Belong In Your Arms,Chairlift
Sit Next to Me,Foster The People
You're Somebody Else,flora cash
Big Jet Plane,Angus & Julia Stone
Something About Us,Daft Punk
Gooey,Glass Animals
Friday I'm in Love,The Cure
Old Pine,Ben Howard
Mess Is Mine,Vance Joy
Tiny Moves,Bleachers
reckless driving,Lizzy McAlpine
Holocene,Bon Iver
Emergency Contact,Pierce The Veil
Seasons (Waiting on You),Future Islands
Flashed Junk Mind,Milky Chance
Hold On,Alabama Shakes
Free Animal,Foreign Air
Georgia,Vance Joy
Wildflower,Beach House
Crystals,Of Monsters and Men
Don't Delete The Kisses,Wolf Alice
Missing Piece,Vance Joy
Simple Song,The Shins
Guru,Coast Modern
On Call,Kings of Leon
Liar,Paramore
What's Love (feat. MUNA),Empress Of
Run Away With Me,Cold War Kids
I'm in Love,Jelani Aryeh
Will Do,TV On The Radio
This Modern Love,Bloc Party
thoughts i have while lying in bed,The Maine
Don't Move,Phantogram
Superbloodmoon (feat. D4vd),Holly Humberstone
Pieces,Andrew Belle
Patience,Chris Cornell
If I Get High,Nothing But Thieves
Echo,Incubus
Bloodstream,Stateless
Call Me Lover,Sam Fender
sheluvme,Tai Verdes
The Enemy,Andrew Belle
Dream,Imagine Dragons
Dreaming My Dreams,The Cranberries
Half Your Love,Bahamas
I Told You So,Briston Maroney
Empire,Of Monsters and Men
Make It Wit Chu,Queens of the Stone Age
Kiss City,Blondshell
Dangerous Game,Blu DeTiger
"Lover, Please Stay",Nothing But Thieves
Crystal Clear,Hayley Williams
Purple,Hollow Coves
Youuu,COIN
"Shake, Shake, Shake",Bronze Radio Return
Indigo Puff,Sundara Karma
Our Love,Sharon Van Etten
Call Me Back,Young the Giant
Want You Like That,Charlotte Sands
True Love Way,Kings of Leon
Adore,Amy Shark
Astronaut (Something About Your Love),Mansionair
Cherry,Moose Blood
Love Song,Softcult
The Wilhelm Scream,James Blake
YOU,Morgan Saint
Loveless,PVRIS
Hanging On,Active Child
Litost,X Ambassadors
She's Casual,The Hunna
Love's The Only Way,Cage The Elephant
Just Say When - Version 2.0,NOTHING MORE
Heart Beat Here,Dashboard Confessional
Stars Are on Your Side,Ross Copperman
November Air,Zach Bryan
Call It Dreaming,Iron & Wine
Sleeping Alone,Flatland Cavalry
Joy Of My Life,Chris Stapleton
"Cairo, IL",Natalie Hemby
Burning House,Cam
Two Story House,Lainey Wilson
Mountain Song,Flatland Cavalry
Front Porch,Joy Williams
People Change,Mipso
Autumn Town Leaves,Iron & Wine
If We Were Vampires,Jason Isbell and the 400 Unit
Whiskey And You,Chris Stapleton
Never in My Wildest Dreams,Dan Auerbach
Something In The Orange - Live From Spotify Studios,Niall Horan
In His Arms,Jack Ingram
The Only Boy Awake,Meadows
Lost in Your Love,Music Travel Love
The Time I've Wasted,Lori McKenna
Louise,Mipso
2016,Sam Hunt
Girl Goin' Nowhere,Ashley McBryde
Sunday Drive,Brett Eldredge
I Forget Myself (feat. Darlingside),Henry Jamison
Wait Up For Me,Amos Lee
Leave Me Again,Kelsea Ballerini
Wings,Jackson Dean
MARILYN,Kelsea Ballerini
I Ain't Ever Loved No One - Acoustic,Donovan Woods
Roadtripsong,Abby Cates
Eyes Fall,Ocie Elliott
You and Tequila (feat. Grace Potter),Kenny Chesney
Small Town Hypocrite,Caylee Hammack
hookup scene,Kacey Musgraves
Forgiveness,David Nail
WHAT I HAVE,Kelsea Ballerini
Coming Down the Mountain,Mipso
It'll Work Itself Out,Donovan Woods
Pack My Hometown,Eli Winders
Asking For A Friend,Devin Dawson
Pretty Hands,Jeffrey Foucault
Love You To Death,Chord Overstreet
The Captain's Daughter,Alison Krauss & Union Station
A House Made of You,Michael Shynes
The Love That We Need,Hayes Carll
Dancing Shoes,Green River Ordinance
Run of Good Luck,Rob Baird
Nothing Like You,Dave Barnes
Where the Heart Is,Brett Eldredge
Find Me Here - Broke Down,Tucker Beathard
Cheap Suit,Jeffrey Foucault
Bulleit Blues,Sam Williams
Swimming Alone,Liz Rose
Breakups - Acoustic,Seaforth
This Town Still Talks About You,Natalie Hemby
Wild Honey,Anna Vaus
Supernova,Caitlyn Smith
what do i,Emily James
Miles Away,Krysta Nick
half of my hometown - ballerini album version,Kelsea Ballerini
Suitcase Heart,Tyler Cain
St. Louis,David Nail
Heartland,Hailey Whitters
